secciones_en_catalogo: 59
1   40x40-12N8	40.000     40.00   200.00   4200.00   12
    5.067075    15.0      15.0
    5.067075    15.0       5.0
    5.067075    15.0     -15.0
    5.067075    15.0      -5.0
    5.067075     5.0      15.0
    5.067075     5.0     -15.0
    5.067075    -5.0      15.0
    5.067075    -5.0     -15.0
    5.067075   -15.0      15.0
    5.067075   -15.0       5.0
    5.067075   -15.0     -15.0
    5.067075   -15.0      -5.0
2	50x30-10N8	50.000     30.00   200.00   4200.00   10
    5.067075    20.0      10.0
    5.067075    20.0      3.333333
    5.067075    20.0     -10.0
    5.067075    20.0      -3.33333
    5.067075   -20.0      10.0
    5.067075   -20.0       3.33333
    5.067075   -20.0     -10.0
    5.067075   -20.0      -3.33333
    5.067075     0.0      10.0
    5.067075     0.0     -10.0
	1.27	-20	-6.667			
	1.27	-20	6.667			
	1.27	20	-6.667			
	1.27	20	6.667			
23	50x50-16N4	50	50	280	4200	16
	1.27	-20	20			
	1.27	-10	20			
	1.27	0	20			
	1.27	10	20			
	1.27	20	20			
	1.27	-20	-20			
	1.27	-10	-20			
	1.27	0	-20			
	1.27	10	-20			
	1.27	20	-20			
	1.27	-20	-10			
	1.27	-20	0			
	1.27	-20	10			
	1.27	20	-10			
	1.27	20	0			
	1.27	20	10			
24	50x50-20N4	50	50	280	4200	20
	1.27	-20	20			
	1.27	-12	20			
	1.27	-4	20			
	1.27	4	20			
	1.27	12	20			
	1.27	20	20			
	1.27	-20	-20			
	1.27	-12	-20			
	1.27	-4	-20			
	1.27	4	-20			
	1.27	12	-20			
	1.27	20	-20			
	1.27	-20	-12			
	1.27	-20	-4			
	1.27	-20	4			
	1.27	-20	12			
	1.27	20	-12			
	1.27	20	-4			
	1.27	20	4			
	1.27	20	12			
25	50x50-4N6	50	50	280	4200	4
	2.87	-20	20			
	2.87	20	20			
	2.87	-20	-20			
	2.87	20	-20			
26	50x50-8N6	50	50	280	4200	8
	2.87	-20	20			
	2.87	0	20			
	2.87	20	20			
	2.87	-20	-20			
	2.87	0	-20			
	2.87	20	-20			
	2.87	-20	0			
	2.87	20	0			
27	50x50-12N6	50	50	280	4200	12
	2.87	-20	20			
	2.87	-6.667	20			
	2.87	6.667	20			
	2.87	20	20			
	2.87	-20	-20			
	2.87	-6.667	-20			
	2.87	6.667	-20			
	2.87	20	-20			
	2.87	-20	-6.667			
	2.87	-20	6.667			
	2.87	20	-6.667			
	2.87	20	6.667			
28	50x50-16N6	50	50	280	4200	16
	2.87	-20	20			
	2.87	-10	20			
	2.87	0	20			
	2.87	10	20			
	2.87	20	20			
	2.87	-20	-20			
	2.87	-10	-20			
	2.87	0	-20			
	2.87	10	-20			
	2.87	20	-20			
	2.87	-20	-10			
	2.87	-20	0			
	2.87	-20	10			
	2.87	20	-10			
	2.87	20	0			
	2.87	20	10			
29	50x50-20N6	50	50	280	4200	20
	2.87	-20	20			
	2.87	-12	20			
	2.87	-4	20			
	2.87	4	20			
	2.87	12	20			
	2.87	20	20			
	2.87	-20	-20			
	2.87	-12	-20			
	2.87	-4	-20			
	2.87	4	-20			
	2.87	12	-20			
	2.87	20	-20			
	2.87	-20	-12			
	2.87	-20	-4			
	2.87	-20	4			
	2.87	-20	12			
	2.87	20	-12			
	2.87	20	-4			
	2.87	20	4			
	2.87	20	12			
30	50x50-4N8	50	50	280	4200	4
	5.07	-20	20			
	5.07	20	20			
	5.07	-20	-20			
	5.07	20	-20			
31	50x50-8N8	50	50	280	4200	8
	5.07	-20	20			
	5.07	0	20			
	5.07	20	20			
	5.07	-20	-20			
	5.07	0	-20			
	5.07	20	-20			
	5.07	-20	0			
	5.07	20	0			
32	50x50-12N8	50	50	280	4200	12
	5.07	-20	20			
	5.07	-6.667	20			
	5.07	6.667	20			
	5.07	20	20			
	5.07	-20	-20			
	5.07	-6.667	-20			
	5.07	6.667	-20			
	5.07	20	-20			
	5.07	-20	-6.667			
	5.07	-20	6.667			
	5.07	20	-6.667			
	5.07	20	6.667			
33	50x50-16N8	50	50	280	4200	16
	5.07	-20	20			
	5.07	-10	20			
	5.07	0	20			
	5.07	10	20			
	5.07	20	20			
	5.07	-20	-20			
	5.07	-10	-20			
	5.07	0	-20			
	5.07	10	-20			
	5.07	20	-20			
	5.07	-20	-10			
	5.07	-20	0			
	5.07	-20	10			
	5.07	20	-10			
	5.07	20	0			
	5.07	20	10			
34	50x50-20N8	50	50	280	4200	20
	5.07	-20	20			
	5.07	-12	20			
	5.07	-4	20			
	5.07	4	20			
	5.07	12	20			
	5.07	20	20			
	5.07	-20	-20			
	5.07	-12	-20			
	5.07	-4	-20			
	5.07	4	-20			
	5.07	12	-20			
	5.07	20	-20			
	5.07	-20	-12			
	5.07	-20	-4			
	5.07	-20	4			
	5.07	-20	12			
	5.07	20	-12			
	5.07	20	-4			
	5.07	20	4			
	5.07	20	12			
35	60x60-24N3	60	60	280	4200	24
	0.71	-25	25			
	0.71	-16.667	25			
	0.71	-8.333	25			
	0.71	0	25			
	0.71	8.333	25			
